,Unnamed: 0,Address,Lot_Size,Price,Unit,State,Country,latitude,longitude,lat,long
28,29,"USA,California,30465 Highland Way, Los Gatos, CA 95033",69.37,10000000.0,acres lot,California,USA,37.0707,-121.83424,37.0693092,-121.8310957
29,30,"USA,California,0 Leon Rd, Winchester, CA 92596",84.8,10000000.0,acres lot,California,USA,33.7068,-117.08438,33.7085823,-117.1197618
30,31,"USA,California,81437 Peary Pl, La Quinta, CA 92253",1.42,10000000.0,acres lot,California,USA,33.6,-116.2438,33.6629982,-116.2438315
31,32,"USA,California,3 Anza Rd, Temecula, CA 92591",106.16,9998550.0,acres lot,California,USA,33.499,-117.0546,33.5242635,-117.0513718
32,33,"USA,California,4539 Camden Dr, Corona Del Mar, CA 92625",0.26,9995000.0,acres lot,California,USA,33.586,-117.8633,33.5864859,-117.86324
33,34,"USA,California,8050 Bitterwater Rd, Shandon, CA 93461",8525.0,9995000.0,acres lot,California,USA,35.636,-120.1939,35.540933,-120.088277
34,35,"USA,California,3600 State Highway 86, Thermal, CA 92274",152.0,9950000.0,acres lot,California,USA,33.446,-116.0823,33.3839737,-116.0337353
35,36,"USA,California,0 W Whitesbridge Ave, Tranquillity, CA 93668",333.78,9926242.0,acres lot,California,USA,36.6488,-120.2526,36.7347465,-120.0849502
36,37,"USA,California,34776 Pacific Coast Hwy, Capistrano Beach, CA 92624",0.86,9900000.0,acres lot,California,USA,33.457,-117.67,33.457531,-117.670398
37,38,"USA,California,1271 E Julian St, San Jose, CA 95116",0.48,8900000.0,acres lot,California,USA,37.3527,-121.86967,37.3525771,-121.869492
38,39,"USA,California,3832 N Figueroa St, Los Angeles, CA 90031",1.08,8900000.0,acres lot,California,USA,34.0624,-118.247022,34.0904258,-118.2117779
39,40,"USA,California,26 Pelican Crest Dr, Newport Coast, CA 92657",0.45,8900000.0,acres lot,California,USA,33.595,-117.84322,33.59555,-117.843365
40,41,"USA,California,112 N Beverly Glen Blvd, Los Angeles, CA 90077",0.92,8900000.0,acres lot,California,USA,34.083,-118.4342,34.083051,-118.434209
41,42,"USA,California,233 N Hudson Ave, Pasadena, CA 91101",0.37,8849000.0,acres lot,California,USA,34.149,-118.1349,34.14987,-118.134953
42,43,"USA,California,9625 Oak Pass Rd, Beverly Hills, CA 90210",0.46,8800000.0,acres lot,California,USA,34.115,-118.42796,34.1156006,-118.42816
43,44,"USA,California,0 Mill Creek Rd, Fremont, CA 94539",54.0,8800000.0,acres lot,California,USA,37.5141,-121.92975,37.5287548,-121.893452
44,45,"USA,California,1 Santa Ana Canyon Rd, Anaheim, CA 92807",28.76,8750000.0,acres lot,California,USA,33.856,-117.7746,33.8664818,-117.7513333
45,46,"USA,California,1838 S Brand Blvd, Glendale, CA 91204",0.63,8750000.0,acres lot,California,USA,34.122,-118.2558,34.1224065,-118.255561
46,47,"USA,California,33 Shoreline Dr, Dana Pt, CA 92629",0.27,8700000.0,acres lot,California,USA,33.464,-117.7098,33.4646377,-117.7098691
47,48,"USA,California,1706 E Route 66, Glendora, CA 91740",3.6,8680000.0,acres lot,California,USA,34.128,-117.8342,34.1283461,-117.8340162
48,49,"USA,California,0 Unknown, Phelan, CA 92371",428.41,8600000.0,acres lot,California,USA,34.4262,-117.5725,34.426288,-117.5725628
49,50,"USA,California,507 N Chandler Ave, Monterey Park, CA 91754",1.3,8500000.0,acres lot,California,USA,34.0673,-118.13261,34.0674944,-118.1323377
50,51,"USA,California,0 Pias Ranch Rd, Big Sur, CA 93920",10.3,8500000.0,acres lot,California,USA,36.236,-121.8032,36.2393224,-121.7962524
51,52,"USA,California,4490 Estelle Vineyard Dr, Santa Ynez, CA 93460",120.0,8500000.0,acres lot,California,USA,34.648,-120.0492,34.6144313,-120.079868
52,53,"USA,California,17654 N Main St, Porterville, CA 93257",141.0,8445900.0,acres lot,California,USA,36.11,-119.043,36.1102921,-119.0431629
53,54,"USA,California,Chamberlain Road, Dos Palos, CA 93620",537.2,8326600.0,acres lot,California,USA,37.15719,-120.700987,37.1571461,-120.6909388
54,55,"USA,California,1070 Drum Canyon Rd, Lompoc, CA 93436",296.92,8305360.0,acres lot,California,USA,34.653,-120.2649,34.6349618,-120.2869044
55,56,"USA,California,0 Sycamore Rd, Arvin, CA 93203",61.36,8250000.0,acres lot,California,USA,35.1945,-118.8241,35.1945293,-118.8299161
56,57,"USA,California,0 Camino Del Norte, Lake Elsinore, CA 92532",31.5,8200000.0,acres lot,California,USA,33.6824,-117.30439,33.6755254,-117.3195035
